SGroup,SCode,T1-Time,T1-Class,T1-Line,T1-Folder,T1-Problem,T1-Solution,T2-Time,T2-Class,T2-Line,T2-Folder,T2-Problem,T2-Solution,T3-Time,T3-Class,T3-Line,T3-Folder,T3-Problem,T3-Solution,T4-Time,T4-Class,T4-Line,T4-Folder,T4-Problem,T4-Solution,T5-Time,T5-Class,T5-Line,T5-Folder,T5-Problem,T5-Solution,Difficulty-Q1,Difficulty-Q2,Difficulty-Q3,Difficulty-Q4,Difficulty-Q5,Motivation-Q1,Motivation-Q2,Motivation-Q3,Motivation-Q4,Motivation-Q5
FH,AIOEUL,1036061,MediaUtil,25,Sorting,Por que no createMediaData sempre é definido o valor 0,"Antes de setar o valor, pegar o valor atual e setar +1",734184,MediaController,36,Video,O método getMediaInfo não foi encontrada,Criar o método getMediaInfo na classe de definição.,631872,MediaController,51,Favourites,"o terceiro parametro da chamada da função 
showMediaList é enviada com valor false;","definir o terceiro parametro da chamada da função 
showMediaList com valor true;",406006,MediaListController,,Sorting,"O método responsável pela ordenção 
só exibe uma sáida no terminal e mais nada","Implementar o código de ordenação 
no método responsável",306291,MediaController,13,AccessControl,"O retorno da chamada do método hasDeleteRights
sempre retorna um false, e a comparação do if
nega o valor de retorno, sendo assim se tornando
verdadeiro.","retirar da clausula if o simbolo de negação ""!"".",2,1,2,3,4,1,1,2,4,4
FH,amj5re,1103171,MediaUtil,16,Sorting,Por uma passagem de paranmetro indevido da método 'parseInt' da classe Integer,definindo a conversão correta para o tipo de retorno desejado,1254345,MediaController,21,Video/lancs/mobilemedia/core/ui/controleer,o tipo de retorno do método playVideoMedia é boolean mas o retorno uma vez que é incrementado nao garante que o retorno seja boolean,"primeiramente implementar o método 'incrementCountViews'
pois a classe MediaController não extende e nem implementa nenhum dos imports
logo esse método não faz nada",1130655,MediaListScreen,51, Favourites/lancs/mobilemedia/core/ui/screens,"porque essa classe não faz nenhuma referencia/chamada as funcionalidades da Classe MediaListScreen presente na pasta de mesma raiz 'screens'
data MediaData da pasta datamodel aparenta não está totalmente implementada e nao é referenciada/chamada pelo controlador","1. Definir MediaData
2. Utlilizar os as funcionalidades de MédiaData e MediaListScreen em No MediaController
",667424,MediaListScreen,10,Photo/lancs/mobilemedia/core/ui/screens,"Não encontrei nenhuma referência a classe Sorting na classe MediaListScreen,
também não encontrei em nenhuma fase da implementacao dessa seleção a utilização de MediaListScreen",As funcionalidades de Sorting devem ser implementadas em MediaListScreen,531137,MediaController,13,AccessControl/lancs/mobilemedia/core/ui/controler,A classe  AccessController em momento algum avalia se uma determinado usuário possui ou nao permissão para excluir,o método poderia receber os parametro user e image hasDeleteRights e com base na relação entre eles permitir ou nao a modificação.,1,1,0,0,0,2,2,2,3,3
FH,CASÇAE,1458987,MediaListController.java,34,Sorting/controller,Infelizmente não sei. ,Infelizmente não sei. ,1264773,SelectMediaController,27,AtLeastTwoTypes_AND_Video,"Por que a caracterisitca ""Video"" está escrita no plural, sendo assim, essa palavra não é reconhecida.",Apenas colocando a caracteristica Video no singular.,760775,MediaController,51,Favourites,não sei,não sei,813396,MediaController,21,Sorting,Não sei,Não sei,768353,MediaController,13,AcessControl,não sei,não sei,4,4,4,3,3,2,2,2,2,2
FH,CETHAS,485807,MediaListController,32,Sorting,"A variável ""end"" está decrementando (end--)","A variável ""end"" deverá incrementar (end++)",828386,PlayVideoController,39,Video,O código do método startVideo não foi localizado.,Criar o método startVideo,484021,MediaListScreen,8,Favourites,As opções de menu estão com o mesmo índice (1),Reordenar o índice,289178,MediaListScreen,8,Sorting,Na referida linha o método carregado é original(),Deve-se colocar na inicialização o método para sortear,384978,MediaController,13,AccessControl,Método handleCommand faltando confirmação pelo usuário,Corrigir o método handleCommand,3,2,2,99,3,1,2,2,2,1
FH,CJAEEN,1664351,MediaData.java,2,Sorting\lancs\mobilemedia\core\ui\datamodel,Porque o atributo não é static.,"private static int numberOfViews = 0;
",1064139,MediaController.java,30,Video\lancs\mobilemedia\core\controller\,O método prepareController não faz nada.,"O método prepareController deveria preparar o video com o nome ""name"" para ser exebido.",934419,MediaController.java,51,lancs.mobilemedia.core.ui.controller,O showMediaList deveria ser executado após a linha 52.,Inverter linhas 51 com linha 52.,521166,MediaData.java,2,Sorting.lancs.mobilemedia.core.ui.datamodel,Porque o número de vizualizações retorna sempre 0.,colocar o atributo numberOfViews como static final,658867,MediaController.java,15,AccessControl,Porque o método handleCommand retorna true para deletar.,Alterar para false.,3,3,3,3,3,1,1,1,1,1
FH,DAIEUT,1573667,,,SmsFeature,,,575865, 	public boolean handleCommand(Command command),27,Controller ,,,806503,,,SelectTypeOfMeida.java,,,240502,,,SortPhoto,,,81505,,,,,,3,3,3,3,99,1,1,1,99,99
FH,EETELI,819205,MediaListController.java,31,Sorting/lancs/mobilemedia/core/ui/controller,Porque ao entrar no laço iniciado na linha 33 o if da linha 34 nunca é executado,,459974,MediaController.java,4,Video/lance/mobilemedia/core/ui/controller,"Porque a varIável setada na linha 5 (PLAYVIDEO) é diferente da variável testada no laço da linha 10 (SHOWPHOTO), com isso o camando da linha 11 (addCommand) não é executado.",Alterando a valor comparado no teste do if (linha 10) para a valor PLAYVIDEO,1332243,MediaController,50,Favourites/lancs/mobilemedia/core/ui/controller,Porque o segundo argumento da linha 51 está setado para false,Setando esse argumento para true,647831,MediaListController.java,30,Sorting/lancs/mobilemedia/core/ui/controller,"Porque o método responsável pela ordenação (public void bubbleSort) não foi implementado.

Repare que foi inserido um comentário no código informando isso (//TODO implement bubbleSort)",Implementar o método,1327181,AlbumController.Java,73,Base/lancs/mobilemedia/core/ui/controller,"Houve dificuldade de implementar o controle sobre o comando Yes - Delete, confirmando a exclusão do album de imagens.

Isso fica claro no comentário da linha 73 (I think this confirmation questions are complicating the implementation)",Implementar o controle excluindo a possibilidade dele poder excluir imagens,4,3,3,4,1,3,2,2,3,1
FH,saccal,1421452,MediaData.java,2,Sorting,"O método incrementCountViews da classe MediaController (refinada na feature sorting), instancia o objeto MediaData a partir da busca pelo nome da imagem, porém, o atributo numberOfViews é sempre inicializado em 0 na classe MediaData (refinada na feature sorting):
private int numberOfViews = 0;
Por isso o contador é sempre mostrado com o valor 0 quando as imagens são listadas.
","Retirar o valor de inicialização do atributo:
private int numberOfViews;
",2278369,MediaListScreen.java,10,Video,"A classe MediaListScreen.java da feature Base adiciona apenas os seguites comandos à tela de listagem: Add, Delete, Back, Edit Label.
O refinamento da classe MediaListScreen.java, que fica na feature Video deveria adicionar o comando Play Video à tela, mas faz um if onde o o tipo da tela é testado de forma errada:

if (typeOfScreen == SHOWPHOTO)
    this.addCommand(playVideoCommand);
 ","Na linha 10, o teste deveria ser feito com a constante PLAYVIDEO:

if (typeOfScreen == PLAYVIDEO)",1937891,MediaListController.java,?,Favourites,"O comando View Favourites foi adicionado à tela MediaListScreen na feature Favourites, porémm, o método para ser executado quando o botão for acionado não foi implamentado no controller MediaListScreen.java.
","Não basta implementar na classe MediaControler.java, precisaria implementar o acesso ao comando na classe MediaListController.java.",0,<empty>,<empty>,<empty>,<empty>,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,3,3,3,99,99,1,1,0,99,99
FH,SLACOL,1801620,,,,,,2271078,MediaListScreen,10,Video.lancs.mobilemedia.core.ui.screens,"O comando ""Play Video"" só vai aparecer se a tela for de foto (SHOWFOTO) e não PLAYVIDEO.",Trocando o critério de adição para testar com PLAYVIDEO.,450686,MediaController,51,Favourites.lancs.mobilemedia.core.ui.controller,"Favoritos, terceiro parametro do método showMediaList está marcado como false.",Trocar o terceiro parametro dessa linha para true,478202,MediaListController,30,Sorting.lancs.mobilemedia.core.ui.controller,"O método bubbleSort(MediaData[] medias), responsavel pela ordenação das imagens, ainda não foi implementado.
",Implementar corretamente o método bubbleSort(MediaData[] medias) da classe em questão.,833841,MediaController,12,AccessControl.lancs.mobilemedia.core.ui.controller,"O label correto para a função de remoção seria ""Delete"" e não ""Delete Label"". A condição aí vais er sempre falsa e ele não vai testar os direitos.","Trocar, na referida linha, ""Delete Label"" por ""Delete"".",0,1,3,3,3,1,2,3,4,4
IFDEF,a,680387,,,<empty>,não conseguir encontrar.,não conseguir encontrar.,1729744,PlayVideoScreen,39,<empty>,,,922790,,,<empty>,,,223189,,,<empty>,,,211652,AccessController,10,<empty>,,,2,2,2,99,2,0,99,99,99,0
